ProjectBuildingDWID|ProjectID|BuildingID|BoroID|Block|Lot|BIN|HouseNumber|StreetName|TotalBuildingUnits|BaseSquareFootage|Stories
9646|43214|921709|1|01913|0048||134|W. 129TH STREET|10|2498|5
11416|43214|921728|1|01914|0023||119|WEST 129TH STREET|10|2498|5
13812|43214|921726|1|01913|0058||158|WEST 129TH STREET|10|2748|5
17482|43214|921725|1|01913|0056||152|W. 129TH STREET|24|4871|6
19116|43214|921727|1|01914|0024||115-117|WEST 129TH STREET|23|4996|6
21965|43214|921714|1|01913|0050||138|W 129TH STREET|10|2498|5
24023|43214|921724|1|01913|0051||140|W. 129TH STREET|10|2448|5
20857|43791|924768|N/A|N/A|N/A|N/A|N/A|N/A|41||3
18853|44894|929413|1|00762|0060||330|WEST 39 STREET|42||3
42413|125|109774|2|02724|0101|2005771|940|SIMPSON STREET|44|9313|6
42414|125|806947|2|02724|0001|2099788|941|SIMPSON STREET|36|7101|5
42415|125|79220|2|02723|0006|2005758|930|FOX STREET|49|9348|6
42416|125|806679|2|02724|0001|2005769|940|FOX STREET|40|7845|5
42417|125|64661|2|02724|0001|2099787|997|EAST 163 STREET|13|2835|5
42418|125|110199|2|02720|0093|2005737|751|SOUTHERN BOULEVARD|50|9348|6
42419|125|110200|2|02720|0088|2005736|763|SOUTHERN BOULEVARD|43|6642|6
42420|125|110203|2|02720|0084|2005735|771|SOUTHERN BOULEVARD|43|6642|6
42421|125|110204|2|02720|0080|2005734|779|SOUTHERN BOULEVARD|43|6642|6
42422|124|29276|1|00595|0022|1080177|456|WASHINGTON STREET|107|19199|10
42423|130|25262|1|01944|0018|1059061|400|MANHATTAN AVENUE|93|12000|7
42424|130|25266|1|01944|0045|1059073|408|MANHATTAN AVENUE||7000|7
42425|131|38590|1|01945|0009|1059093|353|WEST 118 STREET|70|5000|7
42426|131|38592|1|01945|0007|1059092|357|WEST 118 STREET||5000|7
42427|131|38597|1|01945|0005|1059091|365|WEST 118 STREET||5000|7
42428|126|812395|5|03307|0025|5109523|12|CARMEL COURT|100||2
42429|126|812396|5|03307|0025|5109522|15|CARMEL COURT|||2
42430|126|720538|5|03307|0025|5109521|2|CARMEL COURT|||2
42431|126|812397|5|03307|0025|5109524|21|CARMEL COURT|||2
42432|126|812398|5|03307|0025|5109525|22|CARMEL COURT|||2
42433|126|812399|5|03307|0025|5109527|32|CARMEL COURT|||2
42434|126|812400|5|03307|0025|5109526|33|CARMEL COURT|||2
42435|126|812401|5|03307|0025|5116732|5|CARMEL COURT|||2
42436|126|812402|5|03307|0025|5109529|51|CARMEL COURT|||2
42437|126|812403|5|03307|0025|5109530|61|CARMEL COURT|||2
42438|127|47164|2|04427|0004|2087904|2505|BARKER AVENUE|100|9547|7
42595|48877|951402|3|04452|0357|300000|766|EGAN STREET|1|800|2
42131|48877|950994|3|04586|0971|300000|900|ERSKINE STREET|1|800|2
42134|48877|951024|3|04586|0972|300000|902|ERSKINE STREET|1|800|2
42138|48877|951031|3|04586|0974|300000|906|ERSKINE STREET|1|800|2
42139|48877|951032|3|04586|0975|300000|908|ERSKINE STREET|1|800|2
42140|48877|951033|3|04586|0976|300000|910|ERSKINE STREET|1|800|2
42141|48877|951034|3|04586|0977|300000|912|ERSKINE STREET|1|800|2
42142|48877|951035|3|04586|0973|300000|904|ERSKINE STREET|1|800|2
42143|48877|951028|3|04452|0323|300000|693|VANDALIA AVENUE|1|800|2
42144|48877|951037|3|04452|0324|300000|695|VANDALIA AVENUE|1|800|2
