ProjectBuildingDWID,ProjectID,BuildingID,BoroID,Block,Lot,BIN,HouseNumber,StreetName,TotalBuildingUnits,BaseSquareFootage,Stories,Lat,Lon
40318,48126,109777,2,02724,0005,2000000,995,SIMPSON STREET,59,,6,40.8236559,-73.8928971
40319,48126,53579,2,02757,0010,2006275,1094,BRYANT AVENUE,54,,6,40.826114,-73.8887154
40320,48126,92381,2,02757,0024,2006278,1083,LONGFELLOW AVENUE,45,,6,40.825681,-73.888079
40321,48126,109647,2,02724,0005,2000000,1000,SIMPSON STREET,59,,5,40.8231965,-73.8927161
40322,48126,806951,2,02724,0005,2093936,985,SIMPSON STREET,59,,6,40.8235401,-73.892898
40323,48126,77341,2,02750,0020,2006147,1076,FAILE STREET,28,,6,40.825559,-73.889385
40292,47882,86426,2,02753,0024,2006182,1014,HOME STREET,20,,5,40.8288101,-73.888749
40293,47882,122045,2,02754,0025,2006191,1170,WEST FARMS ROAD,11,,5,40.828094,-73.88848
40294,47882,118492,2,02996,0022,2010789,1572,VYSE AVENUE,12,,4,40.834772,-73.886802
40295,47882,118491,2,02996,0020,2010788,1566,VYSE AVENUE,20,,4,40.8346609,-73.88687
40296,47882,53641,2,02999,0016,2010820,1434,BRYANT AVENUE,20,,2,40.83082,-73.888149
40297,47882,53592,2,02753,0026,2006183,1160,BRYANT AVENUE,24,,5,40.8285259,-73.888671
40298,47882,806557,2,03002,0001,2010881,961,EAST 173 STREET,19,,8,40.834819,-73.885743
40299,47882,118477,2,02996,0008,2010785,1536,VYSE AVENUE,20,,5,40.833913,-73.887321
40300,47882,65627,2,02978,0202,2010527,911,EAST 173 STREET,13,,5,40.8361029,-73.8896961
40301,47882,118468,2,02996,0001,2010782,1522,VYSE AVENUE,20,,5,40.833478,-73.887582
40302,47882,53632,2,02994,0042,2010746,1415,BRYANT AVENUE,23,,5,40.830387,-73.889053
40303,47882,110075,2,02978,0200,2010526,1675,SOUTHERN BOULEVARD,15,,5,40.8361718,-73.8886585
40304,47882,53644,2,02999,0018,2094590,1438,BRYANT AVENUE,5,,5,40.830913,-73.888093
40305,47882,122047,2,02754,0027,2006192,1174,WEST FARMS ROAD,10,,5,40.8282079,-73.888416
40306,47882,53736,2,02997,0046,2010805,1665,BRYANT AVENUE,38,,5,40.835087,-73.88622
40307,47882,65626,2,02978,0203,2010528,909,EAST 173 STREET,16,,6,40.8359865,-73.8889965
